,Character,8.6_value
0,Jon Snow,6.948
1,Tyrion Lannister,6.934
2,Daenerys Targaryen,6.036
3,Sansa Stark,5.491
4,Cersei Lannister,5.447
5,Arya Stark,5.27
6,Jaime Lannister,4.902
7,Samwell Tarly,3.969
8,Davos Seaworth,3.484
9,Bran Stark,3.43
10,Brienne of Tarth,3.415
11,Varys,3.02
12,Sandor Clegane,2.345
13,Gregor Clegane,1.945
14,Euron Greyjoy,1.643
15,Edmure Tully,1.467
16,Bronn,1.451
17,Qyburn,1.253
18,Janos Slynt,1.224
19,Gendry,1.116
20,Gilly,0.8
21,Podrick Payne,0.767
22,Meera Reed,0.65
23,Tormund,0.596
24,Daario Naharis,0.585
25,Missandei,0.502
26,Jaqen H'ghar,0.476
27,Hot Pie,0.403
28,Salladhor Saan,0.386
29,Ellaria Sand,0.373
30,Grey Worm,0.366
31,Yohn Royce,0.357
32,Syrio Forel,0.25
33,Tycho Nestoris,0.18
